Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
1,male,Benjamin,L,Roberts,925 Caynor Circle,New Providence,NJ,07974,US,BenjaminLRoberts@dodgit.com,Beginge,shuLi4oh,908-508-8343,Fontenot,6/4/1986,MasterCard,5547616060953314,164,12/2017,138-09-4087,1Z 379 984 51 4282 730 3,Illustrator,Northern Reflections,2000 Alfa Romeo 146,WebCheating.com,A+,238.3,108.3,6' 1",185,d8aca149-e148-4da3-9a63-949ee69e94f7,40.640707,-74.347271
2,female,Sarah,D,King,1963 Gerald L. Bates Drive,Boston,MA,02115,US,SarahDKing@trashymail.com,Thinted81,ooQuai0a,617-865-6923,Morgan,4/26/1981,Visa,4916496548119374,718,2/2016,030-54-8541,1Z 305 Y75 23 2717 991 8,Manager,Scotty's Builders Supply,1995 Holden Nova,AdvertisingReporter.com,O+,131.3,59.7,5' 5",164,c6253d01-aee2-4899-903c-171f0eb32808,42.244503,-70.998283
3,female,Deborah,H,Carlson,1635 Star Trek Drive,Pensacola,FL,32507,US,DeborahHCarlson@dodgit.com,Numb1990,Uch2pu3ki,850-384-4193,Turner,10/1/1990,MasterCard,5303744707900151,187,3/2015,768-22-4587,1Z 666 842 34 3004 921 8,Molder,Edge Yard Service,1992 Seat Marbella,JrLawyer.com,O+,135.3,61.5,5' 1",156,04c5018d-98f1-421d-bd75-d535c67393b1,30.371252,-87.281694
4,male,William,B,Turner,2662 Gladwell Street,Dallas,TX,75207,US,WilliamBTurner@dodgit.com,Ournothe,AeTeelei2ch,903-273-7359,Ross,9/29/1992,MasterCard,5485156959117071,136,6/2016,453-98-9378,1Z 064 856 10 6571 132 7,Stock trader,Pay 'N Pak,2003 Honda Life,ForumStreaming.com,A+,183.7,83.5,5' 8",173,97733cde-ed60-4d46-ad9b-314b6da40723,32.83471,-96.778802
5,female,Janet,W,Norwood,2527 Parkway Drive,Tucson,AZ,85704,US,JanetWNorwood@dodgit.com,Shem1984,eehieT1jah,520-498-2125,Michalik,10/7/1984,MasterCard,5578772828603881,882,10/2017,601-94-0177,1Z 827 629 86 4436 742 0,Photojournalist,Target Source,1998 Ferrari Maranello,MarvelousLinks.com,A+,124.5,56.6,5' 5",166,815dab52-9de4-463e-bcd8-e07f550f92b5,32.34443,-110.949833
6,male,Lee,D,Jones,4759 Poling Farm Road,Plattsmouth,NE,68048,US,LeeDJones@mailinator.com,Shessame,eeSh4Eex6Wa,402-296-9555,Sheldon,5/24/1984,MasterCard,5536104217407800,091,2/2014,506-49-3057,1Z 8A1 5F6 98 3998 144 7,Medical laboratory technologist,Turtle's Records & Tapes,2001 Oldsmobile O4,ElectronicShare.com,B+,198.2,90.1,6' 0",184,b8f1b9e4-97ce-4850-a88e-e2f61a0f1bb2,40.910487,-95.977589
7,male,Ivory,C,Lutz,2343 Stone Lane,Plymouth Meeting,PA,19462,US,IvoryCLutz@mailinator.com,Alung1981,Sai9sohK2fee,610-389-2537,Johnson,4/28/1981,Visa,4532062748148029,184,11/2014,200-32-0454,1Z 8F0 232 31 6162 680 8,Heating air-conditioning and refrigeration engineer,The Royal Canadian Pancake Houses,1995 Toyota Mega Cruiser,PreferredManager.com,B+,228.8,104.0,5' 8",173,d3797f86-bb03-4169-90d5-11eeafcb0730,40.139107,-75.231777
8,female,Tamika,J,Richardson,1571 Benson Park Drive,Clinton,OK,73601,US,TamikaJRichardson@pookmail.com,Sentuabion88,viel5oR8cah,405-393-7672,Hooper,1/2/1988,Visa,4556800330356083,158,5/2016,441-21-9561,1Z 502 205 06 3918 728 7,Pilot,Reliable Garden Management,2011 Ford Shelby GT 500,MobileChapel.com,B+,190.7,86.7,5' 1",154,b4f6a288-0cfb-448b-af2e-59dc4867502c,35.555975,-99.07619
9,female,Maria,F,Switzer,451 Brooke Street,Houston,TX,77006,US,MariaFSwitzer@mailinator.com,Nord1979,Ahs4thipe,713-638-8305,Brown,2/7/1979,MasterCard,5117908647863276,605,11/2017,465-07-7999,1Z 648 223 33 6985 449 5,Personal trainer,Gottschalks,1997 Fiat Punto,PageGrade.com,B+,129.1,58.7,5' 7",170,87e22b3b-9e23-470c-b2c9-1b2c36d91ba7,29.649832,-95.428589
10,female,Carrie,R,Chase,3204 Waterview Lane,Albuquerque,NM,87109,US,CarrieRChase@mailinator.com,Acusid,aeVuo8quo,505-507-7496,Cruz,3/26/1978,MasterCard,5303303606309954,522,4/2014,585-51-9430,1Z 09E 606 39 0647 619 9,Extruding forming pressing and compacting machine setter,Unity Stationers,2005 Toyota RunX,VoipChats.com,A+,163.2,74.2,5' 2",157,a442f69d-6e9a-4ee4-865b-3af79e614f5a,35.218677,-106.635829
11,female,Lael,M,Sager,1194 Oliver Street,Fort Worth,TX,76118,US,LaelMSager@spambob.com,Tamed1993,waib6De9,817-280-4930,Gwinn,5/20/1993,MasterCard,5496830553894270,803,9/2013,632-72-6893,1Z 108 746 50 5397 373 6,Posting clerk,Sound Advice,2002 TVR T 350,HardwareMaterials.com,A+,153.6,69.8,5' 8",172,75c1aee8-1f42-4310-bbcc-ef0edbf09c89,32.76412,-97.275194
12,female,Laquita,C,Negrete,4914 Winding Way,Bedford,RI,01730,US,LaquitaCNegrete@spambob.com,Saidde,oht4Ashienei,401-648-3122,Pearson,3/25/1978,MasterCard,5439089874040747,235,4/2016,035-34-7188,1Z 86A 864 04 6699 405 2,Newscaster,Omni Tech,2003 BMW Z8,WrestlingManiac.com,B+,200.0,90.9,5' 1",155,2fdec8f9-6c9e-4f0d-9778-58daaa38dc51,42.528566,-71.246871
13,female,Valentine,H,Emery,2757 Wilson Street,Mammoth Lakes,CA,93546,US,ValentineHEmery@pookmail.com,Capils,bePh7ohxai,760-924-9352,Lockwood,10/13/1985,Visa,4485071504584209,093,6/2017,567-39-1067,1Z 00E 138 28 4352 158 4,Service unit operator,A. L. Price,2001 Nissan Cima,AnimeLesson.com,A-,172.3,78.3,5' 5",165,99b7a388-ac40-42b9-8fbd-861cab3c6e93,37.492728,-118.878318
14,male,Fredrick,I,Swinson,909 Chatham Way,Washington,MD,20005,US,FredrickISwinson@pookmail.com,Forel1989,shiegei6Gee,240-573-9978,Martinez,6/22/1989,MasterCard,5286477013611904,541,5/2017,214-18-3447,1Z 719 598 97 6128 910 0,Information designer,Solid Future,2007 Mazda MazdaSpeed3,DomainDebate.com,B+,211.0,95.9,5' 9",174,4d23533b-1b1b-48ec-9635-e29131f337ca,38.858585,-76.952519
15,female,Donna,R,Carr,4648 Walnut Drive,Enderlin,ND,58027,US,DonnaRCarr@dodgit.com,Aftervare,eaWaeQu8jux,701-437-6904,Guinn,10/22/1979,Visa,4539806579512817,554,4/2017,501-78-4614,1Z 299 090 83 7787 890 6,Hanger,Hughes & Hatcher,1996 Buick Riviera,GovernmentFlag.com,AB-,176.2,80.1,5' 1",156,587dcb36-c84a-41d5-a870-2f6b5b84d2c6,46.54944,-97.611205
16,male,Kyle,J,Cruz,1553 Coolidge Street,Elmo,MT,59915,US,KyleJCruz@mailinator.com,Edwasiond,Ohquae9ob,406-849-0664,Thompson,12/31/1992,Visa,4716348840282800,007,7/2013,516-32-6642,1Z 560 079 80 3427 752 2,Prosthetics technician,Joshua Doore,2007 BMW M,DevelopmentTemplates.com,A+,134.4,61.1,6' 2",188,67ec3f63-f1b6-4373-a1b9-5b0f32d24969,47.797681,-114.436726
17,male,Lucas,G,Harlan,1420 Pallet Street,Harrison,NY,10528,US,LucasGHarlan@dodgit.com,Stinst1990,oot7Yeejieh,914-335-3599,Acosta,3/25/1990,MasterCard,5135486234581062,361,10/2015,056-64-2960,1Z 017 E83 71 5489 655 1,Cable splicer,Life's Gold,1998 Ford Versailles,TournamentResearch.com,O+,224.4,102.0,6' 0",183,00d99d33-804a-4ccb-96b0-5f22756075a6,41.0022,-73.643049
18,female,Jeraldine,D,Harrison,3790 Roosevelt Road,Sharon,KS,67138,US,JeraldineDHarrison@dodgit.com,Ancon1979,ui2co7giF,620-322-8035,Kellogg,2/22/1979,MasterCard,5215482340222777,426,3/2016,511-98-4523,1Z 59W 178 27 4851 176 6,Nutritionist,Official All Star Café,2004 Vauxhall Agila,GrandTracker.com,A+,183.5,83.4,5' 8",173,b11f5a77-c68d-4182-b9a9-b2cfb05ea0bf,37.352169,-98.358987
19,male,James,K,Koopman,2029 Tibbs Avenue,Culbertson,MT,59218,US,JamesKKoopman@mailinator.com,Thervought,Oogh5Wah,406-787-8248,Spears,1/17/1993,Visa,4539653906237811,887,11/2013,516-04-2546,1Z 205 479 50 7612 138 1,Administrative assistant,Incredible Universe,1999 Buick Century,SelfElect.com,B+,179.1,81.4,5' 7",169,599c9082-79f7-4b05-8d39-37a6d01ae178,47.933248,-104.523516
20,male,James,A,Powell,2040 Conaway Street,Bloomington,IN,47404,US,JamesAPowell@trashymail.com,Ofeent,uqueep2Oh,812-418-5061,Turner,9/13/1985,MasterCard,5247717808913942,245,3/2014,309-88-6268,1Z 71F 1W3 77 8654 022 6,Public safety dispatcher,Wells & Wade,2002 Volkswagen 1 Litre,DaytonPainter.com,A+,242.2,110.1,6' 2",188,394bb42d-99aa-490a-98ed-b06d2173fca5,39.23979,-86.500395
